trials1.thisTrialN,trials1.stepSize,trials1.intensity,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,corrAns,tilt,key_resp.corr,trials1.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
139,0.5,1.5,169.9370984,170.4523621,170.4372554,170.4372554,170.7523085,left,-1.5,1,1,0.4370131,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
140,0.5,1.5,170.9023321,171.4038763,171.3874868,171.3874868,171.7026444,left,-1.5,1,1,0.389077,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
141,0.5,1.5,171.8027187,172.3023738,172.285749,172.285749,172.587325,right,1.5,0,0,0.3782732,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
142,0.5,2,172.6863574,173.2020654,173.185265,173.185265,173.4854154,left,-2,1,1,0.8824453,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
143,0.5,2,174.085276,174.5852253,174.5685123,174.5685123,174.8684151,right,2,1,1,0.4810585,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
144,0.5,2,175.0683766,175.5681761,175.5681761,175.5681761,175.8680681,left,-2,1,1,0.4374644,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
145,0.5,1.5,176.0348321,176.5361539,176.5361539,176.5361539,176.8520688,left,-1.5,0,0,0.6117016,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
146,0.5,2,177.1682119,177.6678759,177.6678759,177.6678759,177.9678796,left,-2,1,1,0.3632118,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
147,0.5,2,178.051135,178.551274,178.551274,178.551274,178.8525145,right,2,1,1,0.4509986,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
148,0.5,2,179.0188085,179.5343749,179.5175518,179.5175518,179.8175547,left,-2,1,1,0.3569806,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
149,0.5,1.5,179.9009623,180.4010543,180.384181,180.384181,180.6841227,right,1.5,1,1,0.4975245,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
150,0.5,1.5,180.9018595,181.401691,181.401691,181.401691,181.7172404,left,-1.5,1,1,0.2978097,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
151,0.5,1.5,181.7172404,182.2182207,182.2012914,182.2012914,182.5007597,right,1.5,1,1,0.3602681,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
152,0.5,1,182.5841797,183.0837305,183.0837305,183.0837305,183.3843214,right,1,0,0,1.2159198,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
153,0.5,1.5,184.3170068,184.8169171,184.800318,184.800318,185.1005225,left,-1.5,1,1,0.6073603,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
154,0.5,1.5,185.4336139,185.9336275,185.917334,185.917334,186.2166862,right,1.5,1,1,0.4583769,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
